experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
900,0,15.0,900,15.0,15.0
1800,0,30.0,1800,30.0,30.0
900,0,105.0,900,105.0,105.0
1800,0,105.0,1800,105.0,105.0
2700,0,155.0,2700,155.0,155.0
900,0,5.0,900,5.0,5.0
1800,0,15.0,1800,15.0,15.0
1991,0,15.0,1991,15.0,15.0
900,0,105.0,900,105.0,105.0
1800,0,210.0,1800,210.0,210.0
2700,0,265.0,2700,265.0,265.0
3600,0,325.0,3600,325.0,325.0
3685,0,325.0,3685,325.0,325.0
900,0,35.0,900,35.0,35.0
1800,0,35.0,1800,35.0,35.0
1931,0,35.0,1931,35.0,35.0
900,0,20.0,900,20.0,20.0
1800,0,30.0,1800,30.0,30.0
1967,0,50.0,1967,50.0,50.0
900,0,10.0,900,10.0,10.0
1800,0,50.0,1800,50.0,50.0
2383,0,50.0,2383,50.0,50.0
900,0,0.0,900,0,0.0
1800,0,0.0,1800,0,0.0
2700,0,0.0,2700,0,0.0
2769,0,0.0,2769,0,0.0
900,0,0.0,900,0,0.0
1800,0,0.0,1800,0,0.0
2700,0,0.0,2700,0,0.0
2769,0,0.0,2769,0,0.0
900,0,80.0,900,80.0,80.0
900,0,5.0,900,5.0,5.0
1800,0,45.0,1800,45.0,45.0
2700,0,60.0,2700,60.0,60.0
3600,0,85.0,3600,85.0,85.0
3617,0,85.0,3617,85.0,85.0
1543,0,35.0,1543,35.0,35.0
2077,0,135.0,2077,135.0,135.0
1959,0,50.0,1959,50.0,50.0
