experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
900,0,0.0,900,0,0.0
1800,0,1.0,1800,1.0,1.0
1900,0,2.0,1900,2.0,2.0
2700,1,1.0,800,2.0,3.0
3164,1,3.0,1264,3.0,5.0
3600,2,0.0,436,3.0,5.0
4478,2,1.0,1314,3.0,6.0
4500,3,0.0,22,3.0,6.0
5400,3,2.0,922,3.0,8.0
5796,3,3.0,1318,3.0,9.0
6300,4,0.0,504,3.0,9.0
7200,4,0.0,1404,3.0,9.0
8088,4,0.0,2292,3.0,9.0
8100,5,0.0,12,3.0,9.0
9000,5,0.0,912,3.0,9.0
9557,5,1.0,1469,3.0,10.0
9900,6,0.0,343,3.0,10.0
10800,6,2.0,1243,3.0,12.0
11137,6,3.0,1580,3.0,13.0
11700,7,0.0,563,3.0,13.0
12600,7,0.0,1463,3.0,13.0
13045,7,1.0,1908,3.0,14.0
13500,8,0.0,455,3.0,14.0
14400,8,0.0,1355,3.0,14.0
14605,8,1.0,1560,3.0,15.0
15300,9,1.0,695,3.0,16.0
16200,9,2.0,1595,3.0,17.0
16233,9,2.0,1628,3.0,17.0
17100,10,1.0,867,3.0,18.0
17911,10,1.0,1678,3.0,18.0
18000,11,0.0,89,3.0,18.0
18900,11,0.0,989,3.0,18.0
19469,11,0.0,1558,3.0,18.0
19800,12,0.0,331,3.0,18.0
20700,12,0.0,1231,3.0,18.0
21387,12,1.0,1918,3.0,19.0
21600,13,0.0,213,3.0,19.0
22500,13,0.0,1113,3.0,19.0
22879,13,1.0,1492,3.0,20.0
23400,14,1.0,521,3.0,21.0
24300,14,1.0,1421,3.0,21.0
24325,14,1.0,1446,3.0,21.0
25200,15,0.0,875,3.0,21.0
26100,15,1.0,1775,3.0,22.0
26845,15,2.0,2520,3.0,23.0
27000,16,0.0,155,3.0,23.0
27900,16,0.0,1055,3.0,23.0
28103,16,0.0,1258,3.0,23.0
28800,17,0.0,697,3.0,23.0
29700,17,0.0,1597,3.0,23.0
29721,17,0.0,1618,3.0,23.0
30600,18,1.0,879,3.0,24.0
31459,18,1.0,1738,3.0,24.0
31500,19,0.0,41,3.0,24.0
32328,19,1.0,869,3.0,25.0
32400,20,0.0,72,3.0,25.0
33300,20,2.0,972,3.0,27.0
33777,20,3.0,1449,3.0,28.0
34200,21,1.0,423,3.0,29.0
35100,21,1.0,1323,3.0,29.0
35651,21,1.0,1874,3.0,29.0
36000,22,1.0,349,3.0,30.0
36892,22,2.0,1241,3.0,31.0
36900,23,0.0,8,3.0,31.0
37800,23,1.0,908,3.0,32.0
38700,23,2.0,1808,3.0,33.0
39006,23,2.0,2114,3.0,33.0
39600,24,0.0,594,3.0,33.0
900,0,2.0,900,2.0,2.0
1358,0,2.0,1358,2.0,2.0
1800,1,0.0,442,2.0,2.0
2700,1,0.0,1342,2.0,2.0
2796,1,0.0,1438,2.0,2.0
3600,2,0.0,804,2.0,2.0
3994,2,1.0,1198,2.0,3.0
900,0,0.0,900,0,0.0
1478,0,0.0,1478,0,0.0
1800,1,0.0,322,0,0.0
2700,1,1.0,1222,1.0,1.0
3334,1,2.0,1856,2.0,2.0
3600,2,0.0,266,2.0,2.0
4500,2,1.0,1166,2.0,3.0
4536,2,1.0,1202,2.0,3.0
5400,3,0.0,864,2.0,3.0
6300,3,1.0,1764,2.0,4.0
6452,3,2.0,1916,2.0,5.0
7200,4,2.0,748,2.0,7.0
7414,4,2.0,962,2.0,7.0
8100,5,0.0,686,2.0,7.0
9000,5,1.0,1586,2.0,8.0
9752,5,2.0,2338,2.0,9.0
9900,6,0.0,148,2.0,9.0
10800,6,1.0,1048,2.0,10.0
11700,6,1.0,1948,2.0,10.0
12096,6,3.0,2344,3.0,12.0
12600,7,0.0,504,3.0,12.0
13500,7,2.0,1404,3.0,14.0
13832,7,3.0,1736,3.0,15.0
14400,8,0.0,568,3.0,15.0
14790,8,0.0,958,3.0,15.0
15300,9,0.0,510,3.0,15.0
16200,9,1.0,1410,3.0,16.0
16408,9,1.0,1618,3.0,16.0
17100,10,0.0,692,3.0,16.0
17246,10,0.0,838,3.0,16.0
18000,11,1.0,754,3.0,17.0
18084,11,1.0,838,3.0,17.0
18900,12,2.0,816,3.0,19.0
19282,12,2.0,1198,3.0,19.0
19800,13,0.0,518,3.0,19.0
20700,13,1.0,1418,3.0,20.0
20900,13,1.0,1618,3.0,20.0
21600,14,0.0,700,3.0,20.0
21792,14,1.0,892,3.0,21.0
22500,15,0.0,708,3.0,21.0
23358,15,2.0,1566,3.0,23.0
23400,16,0.0,42,3.0,23.0
24300,16,1.0,942,3.0,24.0
24736,16,1.0,1378,3.0,24.0
25200,17,0.0,464,3.0,24.0
25874,17,1.0,1138,3.0,25.0
26100,18,0.0,226,3.0,25.0
27000,18,1.0,1126,3.0,26.0
27612,18,1.0,1738,3.0,26.0
27900,19,0.0,288,3.0,26.0
28800,19,2.0,1188,3.0,28.0
29230,19,2.0,1618,3.0,28.0
29700,20,0.0,470,3.0,28.0
30308,20,0.0,1078,3.0,28.0
30600,21,0.0,292,3.0,28.0
31500,21,0.0,1192,3.0,28.0
32400,21,1.0,2092,3.0,29.0
32406,21,1.0,2098,3.0,29.0
33300,22,0.0,894,3.0,29.0
33604,22,1.0,1198,3.0,30.0
34200,23,0.0,596,3.0,30.0
34922,23,2.0,1318,3.0,32.0
35100,24,1.0,178,3.0,33.0
36000,24,2.0,1078,3.0,34.0
36120,24,2.0,1198,3.0,34.0
36900,25,0.0,780,3.0,34.0
37800,25,0.0,1680,3.0,34.0
38152,25,1.0,2032,3.0,35.0
38700,26,0.0,548,3.0,35.0
39600,26,1.0,1448,3.0,36.0
40498,26,1.0,2346,3.0,36.0
40500,27,0.0,2,3.0,36.0
41400,27,2.0,902,3.0,38.0
41876,27,2.0,1378,3.0,38.0
42300,28,0.0,424,3.0,38.0
42892,28,2.0,1016,3.0,40.0
43200,29,0.0,308,3.0,40.0
43891,29,2.0,999,3.0,42.0
44100,30,0.0,209,3.0,42.0
45000,30,0.0,1109,3.0,42.0
45413,30,0.0,1522,3.0,42.0
45900,31,0.0,487,3.0,42.0
46800,31,2.0,1387,3.0,44.0
46905,31,3.0,1492,3.0,45.0
47700,32,1.0,795,3.0,46.0
47991,32,1.0,1086,3.0,46.0
48600,33,0.0,609,3.0,46.0
49183,33,1.0,1192,3.0,47.0
49500,34,0.0,317,3.0,47.0
50400,34,0.0,1217,3.0,47.0
50803,34,1.0,1620,3.0,48.0
51300,35,0.0,497,3.0,48.0
52200,35,3.0,1397,3.0,51.0
52352,35,3.0,1549,3.0,51.0
53100,36,3.0,748,3.0,54.0
54000,36,4.0,1648,4.0,55.0
54040,36,4.0,1688,4.0,55.0
54900,37,1.0,860,4.0,56.0
55420,37,3.0,1380,4.0,58.0
55800,38,1.0,380,4.0,59.0
56700,38,2.0,1280,4.0,60.0
57586,38,2.0,2166,4.0,60.0
57600,39,0.0,14,4.0,60.0
58500,39,1.0,914,4.0,61.0
59400,39,3.0,1814,4.0,63.0
59744,39,3.0,2158,4.0,63.0
