experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
900,0,20.0,900,20.0,20.0
1800,0,110.0,1800,110.0,110.0
900,0,30.0,900,30.0,30.0
1800,0,60.0,1800,60.0,60.0
900,0,15.0,900,15.0,15.0
1800,0,35.0,1800,35.0,35.0
2700,0,75.0,2700,75.0,75.0
3600,0,295.0,3600,295.0,295.0
900,0,15.0,900,15.0,15.0
1800,0,15.0,1800,15.0,15.0
2235,0,20.0,2235,20.0,20.0
2700,1,10.0,465,20.0,30.0
3600,1,30.0,1365,30.0,50.0
900,0,50.0,900,50.0,50.0
1111,0,55.0,1111,55.0,55.0
1800,1,60.0,689,60.0,115.0
2700,1,80.0,1589,80.0,135.0
3046,1,105.0,1935,105.0,160.0
3600,2,30.0,554,105.0,190.0
4500,2,55.0,1454,105.0,215.0
5400,2,125.0,2354,125.0,285.0
5541,2,125.0,2495,125.0,285.0
6300,3,30.0,759,125.0,315.0
7200,3,40.0,1659,125.0,325.0
8100,3,75.0,2559,125.0,360.0
8236,3,75.0,2695,125.0,360.0
9000,4,0.0,764,125.0,360.0
9189,4,5.0,953,125.0,365.0
9900,5,0.0,711,125.0,365.0
10800,5,30.0,1611,125.0,395.0
11146,5,75.0,1957,125.0,440.0
11700,6,15.0,554,125.0,455.0
12600,6,50.0,1454,125.0,490.0
13500,6,110.0,2354,125.0,550.0
13903,6,130.0,2757,130.0,570.0
14400,7,10.0,497,130.0,580.0
15300,7,60.0,1397,130.0,630.0
16200,7,75.0,2297,130.0,645.0
16682,7,155.0,2779,155.0,725.0
17100,8,5.0,418,155.0,730.0
18000,8,55.0,1318,155.0,780.0
18900,8,90.0,2218,155.0,815.0
19239,8,105.0,2557,155.0,830.0
19800,9,5.0,561,155.0,835.0
20412,9,20.0,1173,155.0,850.0
20700,10,0.0,288,155.0,850.0
21600,10,15.0,1188,155.0,865.0
22443,10,35.0,2031,155.0,885.0
22500,11,0.0,57,155.0,885.0
23400,11,45.0,957,155.0,930.0
24300,11,70.0,1857,155.0,955.0
24780,11,70.0,2337,155.0,955.0
25200,12,0.0,420,155.0,955.0
26100,12,30.0,1320,155.0,985.0
27000,12,40.0,2220,155.0,995.0
27709,12,245.0,2929,245.0,1200.0
27900,13,0.0,191,245.0,1200.0
28800,13,65.0,1091,245.0,1265.0
29700,13,130.0,1991,245.0,1330.0
30600,13,155.0,2891,245.0,1355.0
31500,13,195.0,3791,245.0,1395.0
31976,13,225.0,4267,245.0,1425.0
32400,14,5.0,424,245.0,1430.0
33300,14,5.0,1324,245.0,1430.0
34200,14,30.0,2224,245.0,1455.0
35100,14,55.0,3124,245.0,1480.0
36000,14,95.0,4024,245.0,1520.0
36347,14,115.0,4371,245.0,1540.0
36900,15,35.0,553,245.0,1575.0
37800,15,45.0,1453,245.0,1585.0
38414,15,50.0,2067,245.0,1590.0
38700,16,0.0,286,245.0,1590.0
39600,16,50.0,1186,245.0,1640.0
2907,0,125.0,2907,125.0,125.0
4026,1,45.0,1119,125.0,170.0
6045,2,130.0,2019,130.0,300.0
9722,3,135.0,3677,135.0,435.0
11647,4,75.0,1925,135.0,510.0
13792,5,35.0,2145,135.0,545.0
17473,6,210.0,3681,210.0,755.0
21202,7,195.0,3729,210.0,950.0
22701,8,30.0,1499,210.0,980.0
25718,9,190.0,3017,210.0,1170.0
27731,10,50.0,2013,210.0,1220.0
30470,11,120.0,2739,210.0,1340.0
32415,12,95.0,1945,210.0,1435.0
34008,13,35.0,1593,210.0,1470.0
37217,14,170.0,3209,210.0,1640.0
39302,15,100.0,2085,210.0,1740.0
