experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
900,0,20.0,900,20.0,20.0
1800,0,80.0,1800,80.0,80.0
2283,0,140.0,2283,140.0,140.0
2700,1,0.0,417,140.0,140.0
3600,1,200.0,1317,200.0,340.0
4500,1,260.0,2217,260.0,400.0
4566,1,260.0,2283,260.0,400.0
5400,2,60.0,834,260.0,460.0
6300,2,220.0,1734,260.0,620.0
7200,2,300.0,2634,300.0,700.0
7467,2,300.0,2901,300.0,700.0
8100,3,60.0,633,300.0,760.0
9000,3,120.0,1533,300.0,820.0
9900,3,180.0,2433,300.0,880.0
10257,3,180.0,2790,300.0,880.0
10800,4,0.0,543,300.0,880.0
11700,4,180.0,1443,300.0,1060.0
12600,4,300.0,2343,300.0,1180.0
13075,4,300.0,2818,300.0,1180.0
13500,5,0.0,425,300.0,1180.0
14400,5,520.0,1325,520.0,1700.0
15300,5,600.0,2225,600.0,1780.0
16200,5,860.0,3125,860.0,2040.0
16839,5,1160.0,3764,1160.0,2340.0
17100,6,0.0,261,1160.0,2340.0
18000,6,260.0,1161,1160.0,2600.0
18900,6,480.0,2061,1160.0,2820.0
19142,6,480.0,2303,1160.0,2820.0
19800,7,40.0,658,1160.0,2860.0
20700,7,160.0,1558,1160.0,2980.0
21600,7,200.0,2458,1160.0,3020.0
22446,7,200.0,3304,1160.0,3020.0
22500,8,0.0,54,1160.0,3020.0
23400,8,60.0,954,1160.0,3080.0
24300,8,80.0,1854,1160.0,3100.0
25012,8,100.0,2566,1160.0,3120.0
25200,9,20.0,188,1160.0,3140.0
26100,9,180.0,1088,1160.0,3300.0
27000,9,180.0,1988,1160.0,3300.0
27900,9,260.0,2888,1160.0,3380.0
28796,9,380.0,3784,1160.0,3500.0
28800,10,0.0,4,1160.0,3500.0
29700,10,120.0,904,1160.0,3620.0
30600,10,200.0,1804,1160.0,3700.0
31130,10,240.0,2334,1160.0,3740.0
31500,11,0.0,370,1160.0,3740.0
32400,11,80.0,1270,1160.0,3820.0
33300,11,140.0,2170,1160.0,3880.0
33433,11,140.0,2303,1160.0,3880.0
34200,12,120.0,767,1160.0,4000.0
35100,12,160.0,1667,1160.0,4040.0
36000,12,280.0,2567,1160.0,4160.0
36314,12,280.0,2881,1160.0,4160.0
36900,13,40.0,586,1160.0,4200.0
37800,13,140.0,1486,1160.0,4300.0
38597,13,420.0,2283,1160.0,4580.0
38700,14,20.0,103,1160.0,4600.0
39600,14,220.0,1003,1160.0,4800.0
900,0,180.0,900,180.0,180.0
1800,0,300.0,1800,300.0,300.0
2700,0,700.0,2700,700.0,700.0
3600,0,900.0,3600,900.0,900.0
3662,0,900.0,3662,900.0,900.0
4500,1,40.0,838,900.0,940.0
5400,1,100.0,1738,900.0,1000.0
6300,1,240.0,2638,900.0,1140.0
7200,1,380.0,3538,900.0,1280.0
7586,1,400.0,3924,900.0,1300.0
8100,2,80.0,514,900.0,1380.0
9000,2,300.0,1414,900.0,1600.0
9869,2,600.0,2283,900.0,1900.0
9900,3,0.0,31,900.0,1900.0
10800,3,100.0,931,900.0,2000.0
11700,3,220.0,1831,900.0,2120.0
12600,3,460.0,2731,900.0,2360.0
13500,3,540.0,3631,900.0,2440.0
14400,3,600.0,4531,900.0,2500.0
15133,3,700.0,5264,900.0,2600.0
15300,4,60.0,167,900.0,2660.0
16200,4,160.0,1067,900.0,2760.0
17100,4,260.0,1967,900.0,2860.0
17436,4,260.0,2303,900.0,2860.0
18000,5,0.0,564,900.0,2860.0
18900,5,360.0,1464,900.0,3220.0
19800,5,380.0,2364,900.0,3240.0
19918,5,380.0,2482,900.0,3240.0
20700,6,360.0,782,900.0,3600.0
