experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
900,0,0.0,900,0,0.0
1800,0,0.0,1800,0,0.0
2700,0,0.0,2700,0,0.0
3600,0,0.0,3600,0,0.0
4500,0,0.0,4500,0,0.0
5400,0,0.0,5400,0,0.0
6300,0,0.0,6300,0,0.0
7200,0,0.0,7200,0,0.0
8100,0,0.0,8100,0,0.0
8193,0,0.0,8193,0,0.0
9000,1,0.0,807,0,0.0
9900,1,1.0,1707,1.0,1.0
10800,1,1.0,2607,1.0,1.0
11700,1,1.0,3507,1.0,1.0
12600,1,1.0,4407,1.0,1.0
13500,1,2.0,5307,2.0,2.0
14400,1,2.0,6207,2.0,2.0
15300,1,2.0,7107,2.0,2.0
16200,1,2.0,8007,2.0,2.0
16386,1,2.0,8193,2.0,2.0
17100,2,0.0,714,2.0,2.0
18000,2,0.0,1614,2.0,2.0
18900,2,0.0,2514,2.0,2.0
900,0,0.0,900,0,0.0
1800,0,1.0,1800,1.0,1.0
2700,0,1.0,2700,1.0,1.0
3600,0,1.0,3600,1.0,1.0
4500,0,1.0,4500,1.0,1.0
5400,0,1.0,5400,1.0,1.0
6300,0,1.0,6300,1.0,1.0
7200,0,1.0,7200,1.0,1.0
8100,0,1.0,8100,1.0,1.0
8193,0,1.0,8193,1.0,1.0
9000,1,0.0,807,1.0,1.0
9900,1,0.0,1707,1.0,1.0
10800,1,0.0,2607,1.0,1.0
11700,1,0.0,3507,1.0,1.0
12600,1,0.0,4407,1.0,1.0
13500,1,0.0,5307,1.0,1.0
14400,1,0.0,6207,1.0,1.0
15300,1,0.0,7107,1.0,1.0
16200,1,0.0,8007,1.0,1.0
16386,1,0.0,8193,1.0,1.0
17100,2,0.0,714,1.0,1.0
18000,2,1.0,1614,1.0,2.0
18900,2,1.0,2514,1.0,2.0
19800,2,1.0,3414,1.0,2.0
20700,2,1.0,4314,1.0,2.0
21600,2,1.0,5214,1.0,2.0
22500,2,1.0,6114,1.0,2.0
23400,2,2.0,7014,2.0,3.0
24300,2,2.0,7914,2.0,3.0
24578,2,2.0,8192,2.0,3.0
25200,3,0.0,622,2.0,3.0
26100,3,0.0,1522,2.0,3.0
27000,3,0.0,2422,2.0,3.0
27900,3,0.0,3322,2.0,3.0
28800,3,1.0,4222,2.0,4.0
29700,3,1.0,5122,2.0,4.0
30600,3,1.0,6022,2.0,4.0
31500,3,1.0,6922,2.0,4.0
32400,3,1.0,7822,2.0,4.0
32771,3,1.0,8193,2.0,4.0
33300,4,0.0,529,2.0,4.0
34200,4,0.0,1429,2.0,4.0
35100,4,0.0,2329,2.0,4.0
36000,4,0.0,3229,2.0,4.0
36900,4,0.0,4129,2.0,4.0
37800,4,0.0,5029,2.0,4.0
38700,4,0.0,5929,2.0,4.0
39600,4,0.0,6829,2.0,4.0
900,0,0.0,900,0,0.0
1800,0,1.0,1800,1.0,1.0
2700,0,1.0,2700,1.0,1.0
3600,0,1.0,3600,1.0,1.0
900,0,0.0,900,0,0.0
1800,0,0.0,1800,0,0.0
2700,0,1.0,2700,1.0,1.0
3600,0,1.0,3600,1.0,1.0
4500,0,1.0,4500,1.0,1.0
5400,0,1.0,5400,1.0,1.0
6300,0,1.0,6300,1.0,1.0
7200,0,1.0,7200,1.0,1.0
8100,0,1.0,8100,1.0,1.0
8193,0,1.0,8193,1.0,1.0
9000,1,0.0,807,1.0,1.0
9900,1,0.0,1707,1.0,1.0
10800,1,0.0,2607,1.0,1.0
11700,1,0.0,3507,1.0,1.0
12600,1,0.0,4407,1.0,1.0
13500,1,0.0,5307,1.0,1.0
14400,1,1.0,6207,1.0,2.0
15300,1,1.0,7107,1.0,2.0
16200,1,1.0,8007,1.0,2.0
16386,1,1.0,8193,1.0,2.0
17100,2,0.0,714,1.0,2.0
18000,2,0.0,1614,1.0,2.0
18900,2,0.0,2514,1.0,2.0
19800,2,0.0,3414,1.0,2.0
20700,2,0.0,4314,1.0,2.0
21600,2,0.0,5214,1.0,2.0
22500,2,0.0,6114,1.0,2.0
23400,2,0.0,7014,1.0,2.0
24300,2,0.0,7914,1.0,2.0
24578,2,0.0,8192,1.0,2.0
25200,3,0.0,622,1.0,2.0
26100,3,0.0,1522,1.0,2.0
27000,3,1.0,2422,1.0,3.0
27900,3,1.0,3322,1.0,3.0
28800,3,1.0,4222,1.0,3.0
29700,3,1.0,5122,1.0,3.0
30600,3,1.0,6022,1.0,3.0
31500,3,1.0,6922,1.0,3.0
32400,3,1.0,7822,1.0,3.0
32771,3,1.0,8193,1.0,3.0
33300,4,0.0,529,1.0,3.0
34200,4,0.0,1429,1.0,3.0
35100,4,1.0,2329,1.0,4.0
36000,4,1.0,3229,1.0,4.0
36900,4,1.0,4129,1.0,4.0
37800,4,1.0,5029,1.0,4.0
38700,4,1.0,5929,1.0,4.0
39600,4,2.0,6829,2.0,5.0
40500,4,3.0,7729,3.0,6.0
40964,4,3.0,8193,3.0,6.0
41400,5,0.0,436,3.0,6.0
42300,5,0.0,1336,3.0,6.0
43200,5,0.0,2236,3.0,6.0
44100,5,0.0,3136,3.0,6.0
45000,5,0.0,4036,3.0,6.0
45900,5,0.0,4936,3.0,6.0
46800,5,0.0,5836,3.0,6.0
47700,5,1.0,6736,3.0,7.0
48600,5,1.0,7636,3.0,7.0
49157,5,1.0,8193,3.0,7.0
49500,6,0.0,343,3.0,7.0
50400,6,0.0,1243,3.0,7.0
51300,6,0.0,2143,3.0,7.0
