experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
900,0,5.0,900,5.0,5.0
1334,0,5.0,1334,5.0,5.0
1800,1,0.0,466,5.0,5.0
2700,1,45.0,1366,45.0,50.0
2872,1,45.0,1538,45.0,50.0
3600,2,5.0,728,45.0,55.0
900,0,25.0,900,25.0,25.0
900,0,30.0,900,30.0,30.0
900,0,5.0,900,5.0,5.0
1800,0,15.0,1800,15.0,15.0
1962,0,15.0,1962,15.0,15.0
2700,1,5.0,738,15.0,20.0
3600,1,5.0,1638,15.0,20.0
3926,1,25.0,1964,25.0,40.0
900,0,55.0,900,55.0,55.0
1800,0,65.0,1800,65.0,65.0
2700,0,140.0,2700,140.0,140.0
2750,0,140.0,2750,140.0,140.0
3600,1,5.0,850,140.0,145.0
4500,1,80.0,1750,140.0,220.0
4810,1,85.0,2060,140.0,225.0
5400,2,20.0,590,140.0,245.0
6300,2,25.0,1490,140.0,250.0
6968,2,65.0,2158,140.0,290.0
7200,3,0.0,232,140.0,290.0
8100,3,70.0,1132,140.0,360.0
9000,3,115.0,2032,140.0,405.0
9274,3,150.0,2306,150.0,440.0
9900,4,15.0,626,150.0,455.0
10800,4,15.0,1526,150.0,455.0
11602,4,120.0,2328,150.0,560.0
11700,5,0.0,98,150.0,560.0
12600,5,20.0,998,150.0,580.0
12940,5,45.0,1338,150.0,605.0
13500,6,30.0,560,150.0,635.0
14400,6,45.0,1460,150.0,650.0
15300,6,110.0,2360,150.0,715.0
15322,6,110.0,2382,150.0,715.0
16200,7,30.0,878,150.0,745.0
16500,7,30.0,1178,150.0,745.0
17100,8,30.0,600,150.0,775.0
18000,8,50.0,1500,150.0,795.0
18650,8,95.0,2150,150.0,840.0
18900,9,0.0,250,150.0,840.0
19800,9,55.0,1150,150.0,895.0
20544,9,60.0,1894,150.0,900.0
20700,10,0.0,156,150.0,900.0
21600,10,0.0,1056,150.0,900.0
22424,10,35.0,1880,150.0,935.0
22500,11,0.0,76,150.0,935.0
23400,11,35.0,976,150.0,970.0
24300,11,40.0,1876,150.0,975.0
24722,11,65.0,2298,150.0,1000.0
25200,12,0.0,478,150.0,1000.0
26100,12,15.0,1378,150.0,1015.0
26784,12,105.0,2062,150.0,1105.0
27000,13,0.0,216,150.0,1105.0
27900,13,60.0,1116,150.0,1165.0
28800,13,120.0,2016,150.0,1225.0
29700,13,260.0,2916,260.0,1365.0
30214,13,320.0,3430,320.0,1425.0
30600,14,0.0,386,320.0,1425.0
31400,14,10.0,1186,320.0,1435.0
31500,15,0.0,100,320.0,1435.0
32400,15,60.0,1000,320.0,1495.0
33300,15,65.0,1900,320.0,1500.0
34168,15,65.0,2768,320.0,1500.0
34200,16,0.0,32,320.0,1500.0
35100,16,20.0,932,320.0,1520.0
36000,16,55.0,1832,320.0,1555.0
36900,16,75.0,2732,320.0,1575.0
37330,16,75.0,3162,320.0,1575.0
37800,17,20.0,470,320.0,1595.0
38700,17,70.0,1370,320.0,1645.0
39600,17,165.0,2270,320.0,1740.0
39636,17,165.0,2306,320.0,1740.0
40500,18,15.0,864,320.0,1755.0
41400,18,65.0,1764,320.0,1805.0
42300,18,300.0,2664,320.0,2040.0
42550,18,300.0,2914,320.0,2040.0
43200,19,50.0,650,320.0,2090.0
44100,19,105.0,1550,320.0,2145.0
44986,19,135.0,2436,320.0,2175.0
45000,20,0.0,14,320.0,2175.0
45900,20,30.0,914,320.0,2205.0
46800,20,275.0,1814,320.0,2450.0
47700,20,320.0,2714,320.0,2495.0
47824,20,320.0,2838,320.0,2495.0
48600,21,15.0,776,320.0,2510.0
48888,21,30.0,1064,320.0,2525.0
49500,22,50.0,612,320.0,2575.0
50400,22,55.0,1512,320.0,2580.0
50610,22,55.0,1722,320.0,2580.0
51300,23,15.0,690,320.0,2595.0
52200,23,35.0,1590,320.0,2615.0
53100,23,65.0,2490,320.0,2645.0
53460,23,135.0,2850,320.0,2715.0
54000,24,0.0,540,320.0,2715.0
54504,24,30.0,1044,320.0,2745.0
54900,25,5.0,396,320.0,2750.0
55800,25,15.0,1296,320.0,2760.0
56700,25,80.0,2196,320.0,2825.0
57240,25,130.0,2736,320.0,2875.0
57600,26,5.0,360,320.0,2880.0
58500,26,120.0,1260,320.0,2995.0
59236,26,130.0,1996,320.0,3005.0
59400,27,0.0,164,320.0,3005.0
60300,27,30.0,1064,320.0,3035.0
61200,27,285.0,1964,320.0,3290.0
61612,27,285.0,2376,320.0,3290.0
62100,28,15.0,488,320.0,3305.0
63000,28,35.0,1388,320.0,3325.0
63900,28,115.0,2288,320.0,3405.0
64800,28,200.0,3188,320.0,3490.0
65700,28,345.0,4088,345.0,3635.0
65722,28,375.0,4110,375.0,3665.0
66600,29,40.0,878,375.0,3705.0
66782,29,60.0,1060,375.0,3725.0
67500,30,5.0,718,375.0,3730.0
68400,30,10.0,1618,375.0,3735.0
68720,30,35.0,1938,375.0,3760.0
69300,31,40.0,580,375.0,3800.0
70200,31,40.0,1480,375.0,3800.0
71100,31,50.0,2380,375.0,3810.0
71986,31,160.0,3266,375.0,3920.0
72000,32,0.0,14,375.0,3920.0
72900,32,85.0,914,375.0,4005.0
73800,32,135.0,1814,375.0,4055.0
74700,32,205.0,2714,375.0,4125.0
74890,32,205.0,2904,375.0,4125.0
